,text,label
0,이 제품이 최고는 아닙니다하지만 가성비면에서 그리고 게이밍 입문용에서는 꽤 쓸만하고 사진에 나온 타사 제품과 비교해서 비슷한 가격대에서 크기도 큰편이 아니라 저처럼 손이 작고 입문용으로 쓰실려면 추천 드립니다전에도 써본적 있구 차이가 있다면 아무래도 버튼압은 그닥 차이가 없는거 같고 휠을 돌렸을때 느낌 차이가 좀 더 빡빡했으면 좋겠단 생각이 드네요그래서 개말고 를 다시 구매했는데 예전 기억하고는 다르네요다만 게임에서 성능은 마우스 문제가 아니라 제 손이 고자여튼 마우스 성능을 못따라가서 그부분은 빼고 정리하자면 나머지 개 실명은 안하겠고손이 작아서 작은 게이밍 입문용 마우스를 찾으시면 저거 개 추천 드립니다아직 셋다 현역으로 뛰는 애들인데 오른쪽건 아직 생산중인지 모르겠네요,1
1,일날 주문 일날 도착 이라는 어마어마한 스피드와 함께 다소 걱정스러웠던 진품인지 가품인지 에서도 공식 마크를 단 만큼이나 깔끔하게 진품 이었으며 정품 등록에도 차질이 없었습니다블랙으로 잘 왔으며  에서도 인식을 잘 합니다 기존에 쓰던 가 년을 넘어가며 일을 그만두겠다는 듯이 더블클릭 현상화 함께 은퇴를 선언하는 바람에  세대  를 구매 했습니다 하다 오래써서 그랬는지는 모르지만 여전히 딱맞는 그립감과 좋은 클릭감이 저를 반겨주네요 잘돌아가는 휠버튼 포함해서 말이죠 아마 이녀석이 고장이 난다면 거의 년후가 아닐까 싶지만 그때 되면 의 세대나 세대가 나오겠죠 그때 또 이 상점에서 구매하고 싶네요,1
2,유명한 제품이라 그런가 짭이 엄청 많다 그래서 되게 걱정했는데 받아서 연결해보니 지허브 연결 잘 됩니다화이트는 오래 쓰면 아무래도 블랙보다 때가 좀 탈 거 같아서 블랙 사고 싶었는데 재고가 없어서 그냥 화이트를 샀는데 의외로 때가 안 탈 것 같은 재질이라 괜찮을 것 같습니다소소한 장점으론 마우스 빛 색상 조절을 지허브에서 커스텀으로 변경 가능하기 때문에 좋아하는 색으로 바꿨더니 기분이 엄청 좋습니다이전에 샀던 마우스가 휠이 잘 안돼서 엄청 속을 썩였는데 확실히 유명한 회사 제품이라 그런가 휠도 엄청 쫀쫀하게 잘 되고 버튼도 전부 잘 작동합니다 잘 쓰겠습니다,1
3,마우스 계의 명품이죠 클릭 과 휠이 부드러워 손가락도 안아프고 좋죠 배송도 빠르구요 다만 단점이라면 굉장히 손을 살짝만 움직여도 마우스 포인트가 휙휙 멀리까지 움직이게 사용할때  마우스가 좀  제멋대로 떨리면서 다른 곳으로 가는 현상이 있습니다 그래서 제가 이 마우스 말고 이거 보다 상위 버전인 로지텍 마우스를 구입했을 때는 그런 현상은 없더군요 다만 이 마우스의 상위 버전인 로지텍 마우스는 다 좋은데 마우스 휠과 마우스 클릭이 부드럽지 못한 것이 조금은 단점 이더군요 서로 반대인 것입니다 참고하십시오 잘사용하겠습니다,1
4,로지텍 에서 정품 인증되네요쿠에서  세대 정품을 샀는데 가품이 와서 어이가 없어서 찾아보다가 여기에서 샀습니다 다행히 정품 인증이 되네요정품은 로지텍 를 다운 받으시고 마우를 꼽으시면 마우스가 자동으로 인식됩니다 그리고 시리얼 넘버마우스 뒷면 로 정품 등록이 가능합니다 첫 번째 사진은 마우스가 인식된 사진 두 번째 사진은 로지텍 홈에피이지에서 시리얼 넘버 입력후 나오는 창입니다 시리얼 넘버가 가품일 경우 맞는 일련번호 없음 이라고 나옵니다 사업 번창하세요,1
5,기존에 사용하던  마우스 스크롤이 망가졌습니다 ㅠㅠ 전기모기채를 가까이서 사용했는데 마우스에서 열이 조금 나더니 스크롤이 망가졌습니다 ㅠㅠ 플라스틱 몸체인데 왜 망가졌는지 모르겠어요 더 정밀한 모니터는 화면에다 대고 모기잡는데 멀쩡하거든요   암튼  마우스와는 커서의 감이 조금 달라서 적응이 필요해 보입니다 ㅠㅠ  보다 조금 긴건지 스크롤 위치가 살짝 멀게 느껴집니다 버튼이 부드러운지 우클릭 오작동이 자주 발생합니다 다 적응하면 될일입니다  ,0
6, 화이트벌크 구매 리뷰입니다가성비성능 확실한여러 방에서 쓸 정도로 검증된 벌크라서 품질이 상하지않았을까 걱정은 조금 했는데 왠걸 뽁뽁이로 싸서 포장까지 해주시면감사합니다 벌크 걱정하덜덜마시고 구매해도 전혀 무관할거같구요크으색깔 보이십니까 여러분불좀 꺼줄래 내 마우스좀 보게영롱한거 보이십니까 마크 부터 뒷옆면까지 흐흐고민하지마시고 구매하시길 바랍니다컴퓨터가 한대가 더 있는데 재구매 욕구 뿜뿜,1
7,마우스 무게 그립감 감도 가성비 까지 다 좋더군요쓰다보니 마우스  너무 밝고 눈부셔서 끄려고 소프트웨어 받어서 설치하려는데아무리 기다려도 설치가 안되더군요검색해서 알아보니 윈도우 계정명이 한글은 안되고 계정 추가 해서 영문으로 바꾸었더니되더군요어이없네요 이걸 패치를 안해준다고로지텍 코리아 실망입니다고객과의 소통부족과 횡포로 쓰러져가는 게임업체가 생각 나는 군요전 앞으로 불매하려 합니다제발 정신 차려 주시길,0
8,마우스는 블랙만 선호했는데 이번에 스마일데이 떴길래 맛탱이가던 마우스를 교체했습니다블루색깔이 보기엔 살짝 질리거나 촌스러운 느낌이 있을꺼 같았는데 막상받아보니 훨씬 이쁘네요블랙 질리시던분들은 블루색 추천드립니다지허브 설치시 처음 마우스 인식 불가  재접속시 무한로딩 걸리던데 마우스를 다시 뺏다가 끼워보니 바로 지허브 인식하네요지허브 설치관련해서 참고하세요,1
9,전선까지 싹다올화이트인제품을찾다가 이게최고의선택이였습니다ㅎㅎ특히불빛에반했어요너무이쁨ㅜㅜㅎㅎ컴터대사면서화이트로풀세트맞추면서 이마우스도개주문했어용ㅎㅎ만족점만점ㅎㅎ게임용으로샀는데넘좋아용ㅎㅎ다른컴터대가아직안와서마우스개는아직뜯지못했지만 그것또한잘될거라믿고보관중입니당ㅎㅎ이쁘게잘쓸게요ㅎㅎ교체시기올때마다여기서계속주문할게요오래오래판매해주세용,1
