,text,year,quarter,month,label_old,label_new
0,한동안 여러번  사대부 김치 주문 고객인데 이런적 처음 이네요  우영채널이 제조사 출고지라고 현대몰과 통화했는데   아이스 박스 열자마자 포장지 구멍나 무생채 건더기가 반쯤 나와있고김치 냄새 진동에 김치 국물 흥건 하고 포장지 입구 부분 케이블타이 제거하니비닐 포장 입구 부분미끈거리고 김치는 배송 요청 사항 처럼 갓담고 싱싱한거 보내달라고 하니익어서 받았습니다음식 가지고 배송 포장  개판으로 장난치는지 여기 사대부 위생시설까지 의심이 가니여기서 절대 구매 하지 마시길 당부드립니다 현대몰 상담사와 통화로 업체 본사에서 요구하기를 반품절차도 유선 통화로 엄청 까다롭게 하고 이메일과 송장 보내라고 하고 송장은 개인정보로 찢어서 이미 버려서 구매확정은 했지만 사진 이메일 보내라 하고 반품 접수 업체 승인받고 택배기사 수거까지 언제올지 모르는데 음식 상하던 냄새나 부폐 하던 현관입구 에다반품 절차 택배 수거까지  계속 놓으란 말인가 더러워서 구매확정은 했지만  포장에 개판으로 보냈으면 책임지며 빠른 일처리 할 마인드는 안가지고 열받게 하네ㅠㅠ,2021,2,4,0,0
1,분명 주문하며 메모란에 몇일 발송해달라고 기재했었는데근년이상 인터넷 쇼핑하며 구매자 주소 밑에 메모란 기재 내용 읽어볼 생각도 않하는 판매자는 처음 봄 메모란도 않보는지 발송이 늦어져 상품문의 란에 물어보니게시판 상담 직원 교육이 않던것 같데요고객 주문정보를 못찾겠다며 고객센터로 연락달라고 해귀찮아 구매취소 누름 헌데 환불이 않되더니 배송준비중이었는데도 불구 알바가 귀찮아 환불 않해줬나봐요 다음날 배송중이라는 문자가 오데요멋대로 한다시퍼 고객센터로 연락하니 상담원 받는데만 기록적인 분 전화 대기직원좀 늘리지판매자가 원가절감에 치중해 상담원을 않써 구매자가 피곤합니다붙이면 근년이상 옥션 쇼핑해본 경우로 놀라운 상담원 답변 들음온스타일 물품은 배송준비 중에 구매취소가 않된답니다 이후물품 받아보니 김치이 위사진마냥애초에 찢어진 비닐 교환도 않고내가 먹을것도 아니라는 마인드로 알바가 귀찮았나봐요그냥 보내 김치 아이스박스 안이 위 사진마냥 김치국물 흥건히,2022,4,11,0,0
2,사대부 김치 김치 판매한 지 꽤 오래된 걸로 알고 가끔 주문해 먹는데요 회사 사람들 머리 속에 뭐가 든 겁니까 이렇게 더운 날씨에 워터 아이스팩 달랑 개 넣어서 보내면 괜찮을 줄 알았나요 완전히 녹아서 김치 봉투는 부풀고 미지근한 시어 빠진 김치가 왔습니다 이거 어떡헙니까 오늘 보다 더 더운 날씨에 종가집 김치는 드라이 아이스가 안 녹고 올 정도로 신경 많이 써서 보냅니다 류가 괜히 류가 아니네요 종가집 하는 거 보고 좀 배우세요 여름에는 항상 종가집 것만 주문해 먹는데 잠깐 착각해서 사대부 걸 주문했더니 골치 아프게 생겼네 어머니는 화 내시고 정말 욕 나옵니다 더운데 볶아먹기도 같네 팔,2022,3,7,0,0
3,직장과 가사일 버거워서 올 해 봄부터 김치를 구입해 먹기 시작했어요구입했던 김치 중 단연 최고예요맛 있습니다일단 짜지 않아요무채의 양이 적당해요젓갈 냄새가 과하지도 모자라지도 않게 살짝 나요고춧가루양도 적당하고 고춧가루 뭉침이 없어요한 가지 본인 입맛에는 김치가 조금 단 것 같은데 이 단맛이 양념에서 오는 것인지 아니면가을 배추여름 배추에 비교해서 단 맛이 강한때문인지는 잘 모르겠네요집에서 직접 담근 김치 같다는 느낌이예요다 먹고 나면 재구매 하고 싶어요,2021,4,10,3,1
4,잘 받았습니다 김치국물이 약간 새어나와 스치로폼 박스안에 묻어있네요 배송이 빨랐으니 망정이지 만약 배송이 느려 다른 택배에 치이고 부대껴서 왔다면 분명 김치국물이 많이 샛을거예요 보니까 김치를 투명비닐에 한번만 싸서 그냥 스치로폼 박스에 넣어왔던데 김치는 국물이 있는 식품이니까 새어나오지 않게 안전하게 투명비닐 두번싸서 박스에 넣어야 하는거 아닌가요 포장상태가 약간 아쉽습니다 사대부 포기김치 처음 주문해 봤는데 모든재료가 국산이라 믿음이 가고 김치는 맛있어요,2023,1,2,3,0
5,좋은 후기도 있고 별로인 후기도 있었는데 재료가 다 국산에 가격이 좋아 구매했어요드라이 아이스와 아이스팩이 녹아서 왔어요 봉투를 여니까 좀 익은 냄새가 났는데 이파리는 넘 맛있게 간이 배었고 줄기는 하나도 익지 않았더라구요 전 생김치를 좋아하지만 줄기에도 간이 좀 배게 밖에 하루 놔뒀다가 김냉에 넣었어요 양념이 부족하단 후기도 있었는데 전 양념 많은 김치를 안좋아해서인지 양념도 넉넉해보이고 맛도 좋고 가격도 좋고 다 만족스럽습니다,2022,3,8,4,0
6,사대부 김치 잘 먹는데 배송되 온 것이 상자에 김치국물 샌듯 보여 택배사에서 또 막 던졌구나 했는데 그게 아니더군요 상자 안에 김치 국물 다 번져 있고 난리가 났기에 뭐지 했더니 김치포장비닐 한 쪽에 구멍이 나 있고 거기로 김치가 나오려하며 국물이 샜더군요 ㅡㅡ 이건 제조사 잘 못이 분명한 일이라 반품해야 하는데 택배기사님도 고생이고 다시 또 받으려면 시간 걸리니 이번엔 그냥 받기로 했네요비닐을 한겹 더 씌우던지 포장을 꼼꼼이 확인했어야 하는거 아닌가요 반품 물건 보낸건지도 찜찜하고 구멍나 있던 것도 찜찜하네요,2023,1,2,2,0
7,비닐봉지 보구는 그냥평범한 김치겠구나 하고 별기대 안했는데 봉투개봉하고 맛본순간 집에서 갓담군 김장김치 맛이 나서 깜짝 놀랐어요 제가 젓갈들어가 김치를 좋아하는데 제가 원하던 감칠맛나는 김치네요 보쌈에 먹기딱좋은 겆절이 같이 맛있네요 저녁에 삼겹살에 맛있게 간만에 먹었네요 익혀 먹으려고 베란다에 놓아뒀어요 바로 먹을꺼는 냉장고에 두고요 많이 안절여지긴 했는데 익으면 괜찬을꺼 같아요 평좋아서 반신반의 했는데 간만에 마음에 든김치 발견해서 기분좋네요 잘먹고 또 주문할께요,2022,1,2,4,1
8,국산 재료에 배추 상태도 좋고 맛도 좋아 자주 사 먹습니다 그런데 이번에는 배송시 문제가 있었나 봅니다 아이스팩도 찢어져 있고 김치 봉투도 찢어져서 국물이 스티로폼 박스에 흥건해요 그나마 아이스팩 속 내용물이 겔 형태로 된 냉매가 아니고 수돗물이라 좀 찡찜해도 그냥 먹습니다만 앞으로 김치포장을 이중비닐포장을 해서 보내 주시면 좋겠습니다 여전히 김치는 맛이 있지만 국물이 하나도 없어 밥상에 올리면 보기에는 맛없게 보여요ㅠ,2022,2,5,4,0
9,년 정도 김치를 사 먹었는데 나는 분명 포기김치를  시켰는데  고추가루 묻혀진  물김치가 왔네요  총 무게  에서  배추 건져내고  국물 무게만   이네요  배추 통에 담으면서 같이 들어간 국물 합치면 더 많겠죠 국물로 수 맞추느라 엄청 수고 하셨어요 이런식으로 장사하지 마십시요 김치 사 먹으면서 이런 개 같은 경우 처음입니다 다른데서 그렇게 많은 김치 사 먹어도 국물이  이하였는데 여긴 거의 배나 되네요 배터지게 부자되세요,2022,4,12,0,0
