,text,label
0,오늘 구입한 고구마 달콤한 년산 꿀 고구마 실중량  를 먹어보니 맛이 좋고 질도 좋았습니다특히 이렇게  고소함이 가득한 고구마 달콤한 년산 꿀 고구마 실중량  를  싼 가격에 판매한다는 점에서 아주 높은 점수를 줄 수 있었습니다매일 고소함이 가득한 고구마 달콤한 년산 꿀 고구마 실중량  를  이용해서 아침 저녁으로 맛있게 먹을  예정입니다                                                                                이렇게 고소함이 가득한 고구마 달콤한 년산 꿀 고구마 실중량  를  판매해 주신 판매자에게 깊은 감사를 드립니다,1
1,그제 저녁에 주문해서 오늘 받았어요 고구마 크기는 좋네요 요전에 한입사이즈로 다른곳에서 구매했었는데 진짜 애기들 주먹만한거로만 와서 좀 그랬는데 여기는 한입 사이즈 치곤 크기가 괜찮네요 근데 많이 부러지고 깨져서 왔어요 그래도 가격대비 만족 합니다 먹어보고 맛입음 재구매할꺼에요,1
2,예전에도 한입 크기 구매했는데지금까지 한입크기 사이즈 주문한것중에 제일 작네요정말 이런걸 캐나이건 좀 놔둬야하는거 아닌가하는 성인 굵은 손가락 사이즈도 있어서 약간 실망감도에어프라이어에 돌려서 먹었는데 맛은 있는데 개정도가 기본 사이즈 개정도인듯잔뿌리도 좀 많고담엔 생각해보고 사야할듯ㅜㅜ,0
3,사이즈라던지 맛이라던지 떠나서 실온에 보관해둔 고구마인데 너무 빨리 물러지고 상하길래 깜짝 놀랬습니다냉장보관하지 않은 제가 잘못인가요배송온 첫날 한번 에어프라이어에 구워먹고 심지가 많타싶었지만 그냥 먹었는데 몇일지나보니 물러지고 상해있어서 거의 키로 몽땅 버림ㅠ,0
4,한입고구마 라고는 하지만 제입이 커서 그런지는 몰라도반입고구마 라고 하는게 맞을것 같습니다썩거나 상한것은 없으나 가격이 저렴한것을 감안 하더라도 너무 작아서 일부는 버려야 할 고구마까지 섞여 있네요,0
5,구매평 보고 구입 했는데   한입 크기가 아니라 남성 엄지손가락에서 조금 큰정도  살 아이가 한입 먹기 좋은 사이즈 네요  첫 구매인데 실망 다음에 구매 알할꺼같네요,0
6,여기 택배원이 맘에 안 드는 것은내 사정이고왜  상품을  문 밖에 문에다 딱 붙여서 놓아서안에서 문을 못 열게 하는지매번 그러는데상품은 받았지만 기분이  안 좋아요택배 때문에,0
7,꿀고구마로 판매홍보하면서밤고구마로 입고되면 어쩔까요 ㅠㅠ너무 퍽퍽하여제대로 기대이하입니다ㅠㅠ또한 한입크기 수시로 구입하지만이제품만큼 작은 한입고구마는 처음 접해봅니다,0
8,빠른 배송 감사합니다고구마를 좋아해서 자주 사서 에어후라이어에구워서 먹는데 이번에 구매한 고구마는 보관이잘못되었는지 섞은 고구마가 많아요 구워서그런가해서 삶아서 먹는데도 상태가 좋지않아요,0
9,한입소  성인 남성이 먹기엔 너무 작긴 합니다만 여성분들이나아이들 간식으로 주기엔 적당한 한입 사이즈에요선별을 했겠지만 고구마 줄기가  제법 많이 있는점은 옥의티입니다,1
