,text,label
0,"식구들이 김치요리를 좋아해서 김장김치가 얼마남지 않아서 김치를 담으려고 했는데 요즘 배추들이 맛이없길래 예전에 먹어봤던 종가집 소백김치가 생각나서 주문해봤어요.예전에는 소백, 백두였던것 같은데 포장지도 빨간색으로 바뀌고 행복이온, 행복이온 플러스라고 적혀있고 투명비닐에 소백이라 적한것도 있고해서 판매처에 몇번이나 물어보고 이걸로 구매했어요.젓갈 진하지 않고 가볍고 깔끔하게 먹을수 있는 김치를 원했거든요.담아서 보내주시는거라 배송은 며칠걸렸는데 포장은 아이스팩으로 깔끔하게 왔어요.덤으로 열무김치도 같이 받았구요.한번씩 소량씩 다양한 김치를 맛보고 싶을때가 있는데 이렇게 500g씩 미리 먹어볼수 있어서 좋았어요.배추김치는 일단 색이 곱고 그릇에 담았을때 보기 좋았어요.그런데 막 담은거라 그런지 처음에는 풋내가 좀 나더라구요.예전에 주문해서 먹었을때는 배추가 정말 달고 맛있고 냄새는 전혀 없었는데 그건 케바케다보니 일단 익혀봐야겠다 싶어 밖에 내놓고 익혔어요.그랬더니 완전 없어지는건 아니었지만 풋내가 좀 가시면서 맛있어졌어요.이렇게 저렇게 먹어보니 생김치로 먹는것보다는 국이나 부침개, 찌개, 김치볶음밥 등 한번더 익히니 훨씬 제입맛에 더 맛있었어요.구매할때는 그냥 반찬으로 먹을 목적이었는데 다르게 많이 활용하고 있어요.열무김치는 처음에는 전혀 먹지 못할정도라 밖에서 완전 푹 익혀서 잘게 잘라서 비빔밥이나 냉면에 약간 얹어서 먹고 있기는 한데 쓴맛이 계속 거슬려요.다시 구매하는 일은 없을것 같아요.열무김치도 좋아해서 먹어보고 맛있으면 구매하려고 했는데 제 입맛에는 아니었어요.11번가 마트데이에 할인가로 저렴하게 구매했고 메인은 배추김치라 대체로 만족합니다.요즘 맛있는 배추 찾기가 힘들어 김치 필요하신분께는 간편하고 추천합니다.저처럼 풋내 느끼시는 분들은 익혀서 드세요.양념이나 간이나 전반적인 맛은 맛있습니다~~",Positive
1,"요즘 코로나 여파로 안그래도 힘드신 부모님께 김치를 부탁드리기가 어려워 1년 넘게 종가집 김치를 애용하고 있습니다. 끼니때마다 꼭 김치가 있어야하는데 혼자 자취하면서 김치를 담그기도 그렇고 담글 형편이 되어도 제 요리 형편이 안되기에.. 사먹을 수 밖에 없습니다. 사먹으면서도 입맛은 또 좋은걸 찾는 습성에다가 재료까지 따지면서 사다보니 솔직히 이것저것 많이 사먹어 보았지만 제입맛에는 종가집 밖에 없더라구요.. 종가집은 김치 전문 회사라 그런지 다양한 김치를 계절 상관 없이 똑같은 가격대로, 먹고싶은 김치를 언제든지 골라 먹을 수 있어서 좋았고 재료도 100%국산이라 믿음이 갔습니다. 몇개월간은 묵은지에 푹빠졌다가 그다음에는 김장포기김치에 빠져 있었습니다. 그런데 시국이 시국인지라 자금형편도 그렇고 해서 늘 먹던3~4kg보다 가격이 착한걸 찾고있던 와중에 행복이온 포기김치10kg이 눈에 들어왔어요. 후기를 보니 좀 부실하다 그런말들이 있었지만 그래도 시켜보기로 했습니다. 그런데 우려와는 달리 배추 크기에 한번 놀라고 배추의 싱싱함에 놀랐습니다. 솔직히 맛은 전에 먹던 김장포기김치랑은 좀 다르더라구요 김장포기김치는 조금 더 칼칼하면서 액젓의 감칠맛을 느낄 수 있고 간도 좀 간간한 편인데 반해 이온포기김치는 새콤달콤 하면서 시원한 맛이 일품이었는데요 칼큼함이없어서 배추의시원한 단맛이 느껴지는 정도지 양념의 단맛은 아닌 기본이 탄탄한 그런 김치의 결이었어요. 요즘처럼 날씨 쌀쌀할때 식사때마다 메뉴걱정 할 필요 없이 맛도 영양도 가성비도 좋은 김치 요리하면 어떨까 싶어요.",Positive
2,"종가집 포기김치 자주 먹습니다수요일 마트데이에 맞춰 주문했고 장바구니 쿠폰까지 할인받아 저렴하게 구매했어요금요일에 받았고 에코아이스팩으로 와서 환경 오염도 줄이고 좋아요김장 비닐로 두 번 포장되어 새지 않았고 골고루 양념도 잘 배었네요구성에서 중부식과 전라도식이 있었는데 전라도식이 젓갈이 좀 더 들어가고 양념이 진하다고 해서 전라도식으로 주문했는데 만족해요전에도 전라도식을 먹었던 것 같아요종가집 김치는 가장 무난하고 맛있게 익어서 좋아요 처음에는 수육이 생각나고 잘 익으면 김치찌개와 볶음밥, 부침개에 넣어요ㅈ배추는 조금 작은 편인데 때에 따라큰 배추가 오기도 하고 작은 배추가 오기도 하더라고요맛은 모두의 입맛에 맞았어요아이도 안 맵고 맛있다며 통에 담을 ㅁ대 옆에서 계속 먹네요흰 쌀밥이 생각나는 맛있는 새김치라 만족해요 주문 후 담근 새 김치를 보내주시거든요저희는 베란다에 하루 두었다가 통에 담았어요 사진과 영상 조실 때 참고하시면 좋을 것 같습니다맛있게 먹고 또 주문할게요참고로 마트나 편의점에서 파는 제품과 온라인 제품은 레시피가 조금 다르다고 합니다 행복이온은 예전 소백과 같은 레시피로 알고 있어요",Positive
3,2년 전 처음으로 인터넷으로 포기김치를 주문해서 먹어보았는데 생각보다 맛있었습니다. 지금까지는 명인이 만든 김치를 먹었었는데 이번 블랙프라이데이 때 종가집 김치가 저렴하게 풀려서 호기심에 구입해 보았습니다. 스티로폼 박스 안에 아이스팩과 함께 배송되었습니다. 빨간 종가집 봉지로 겉포장 되어있었고 그 안쪽에 투명 김장 비닐로 또 한 번 이중포장이 되어 있습니다. 국물 하나 세지 않고 깔끔하게 수령하였습니다. 종가집 김치는 배추의 파란 이파리 부분이 거의 없어 첫인상에서부터 마음에 들었습니다. 하루 만에 배송되어서 익지 않은 김치를 맛볼 수 있었는데 입에 굉장히 잘 맞았습니다. 전라도식 김치지만 젓갈향이 그렇게 심한 편이 아니라 더 좋았던 것 같습니다. 지금은 김치냉장고에서 푹 익혀가며 먹고 있는데 익혀 먹으니 더 맛있습니다. 주변 지인들은 산 김치를 어떻게 먹냐고 호들갑 떠는데 산 거라고 얘기 안 하고 집에서 담근 김치라며 가져다주면 다들 맛있게 잘 먹습니다. 자기가 직접 담근 김치가 더 맛없다는 걸 전혀 모르는 것 같습니다. 고정관념이 이렇게 무섭습니다. 아무튼 종가집 전라도 김치 꽤 만족스럽습니다. 앞으로 계속해서 재구매 할 것 같습니다.,Positive
4,원래 종가집 먹었었는데 고가라인만 먹다가 약간 저렴하길래 주문했는데 맛은 나쁘지 않네요. 배합 비율 차이 겠지만 이것도 나름대로 맛있어요. 금방한거라 아직은 겉절이 느낌이지만 좀 지나면 새콤하니 맛있을 거 같네요. 배송은 좀 느리긴 했지만 아이스박스에 아이스팩 3개 넣어서 배송 되었고 비닐도 이중으로 되있어서 흐르거나 새지는 않았습니다. 본가에서는 늘 종가집 김치 만 먹고 있습니다. 항상 믿고 구입해서 먹고 있는데 재료가 국내산 이라는게 더 믿음이 갑니다. 신뢰 할 수 있는 김치에요.. 앞으로도 종가집 늘 이 맛을 이 퀄리티를 유지해주세요.. 비법이 있는 건지 늘 사먹어도 일정한 맛을 유지시켜 주고 일년 내내 한결 같은 맛을 볼 수가 있어서 구매하는 사람으로서는 일정한 김치 맛에 더욱 신뢰가 갑니다 . 포기도 작지않고 큼지막해서 가식률도 나쁘지 않았어요 김치통 하나에 딱 들어가는 양이라 깔끔하게 다 들어갔어요.. 지금 처럼만 김치 맛을 지켜주시면 정기적으로 구입해 먹을 의사가 있어요.. 또 재구매 하고 싶은 맛이에요.. 잘먹을게요,Positive
5,"맛있었으면 좋겠어요.다만! 배송과정이 많이 이상하네요... 바로 지워버려서 증거는 없지만 분명히 배송시간 관련 문자를 받았고, 그 후에 배송완료 문자도 받았는데 정작 집 앞에 김치가 없었어요. 뭐 그러려니 했어요. 여긴 지방이라 일을 대충대충 하는 경향이 있기에 미리 전산으로만 처리하신 건가 싶어 익숙하게 이 지역 택배기사님에게 김치는 다음날 갖다주실 거냐고 전화로 문의를 했죠. 자기는 해당 물건이 기억나지 않고 배송 목록에도 없다 하셔서 그때부터 찐 당황 시작;; 이튿날인 오늘 상담원과 통화해서 이 상황에 대해 하소연도 하고 김치는 재발송 받겠다고 한 뒤, 이상한 촉이 들어 밖에 나가보니 그 와중에 몰래 놓고 가셨네요! =ㅂ=!! 아니;; 일이 바빠 그만 착각했다고, 물건은 갖다놨으니 걱정말라고 말씀은 해주셔야죠. 재발송 요청 취소하려 종가집 고객센터 전화하려니 점심시간이라 연결이 안된다네요. 타이밍 참... 은근 열 받지만 저도 밥 먹고 마저 처리해야겠네요.",Negative
6,"일단 맛있습니다.양념단맛이 아니라 배추가 달아요. 간도 제 입맛에는 딱 좋네요. 첨 개봉했을땐 고춧가루가 새빨간색이 아니어서 너무 희멀건한게 맛이없게 보였는데 먹어보니 너무 맛있어요. 근데 한 조각먹어보니 첨 느껴보는 향?맛?이 미세하게 있습니다.뭔질모르겠어요. 거슬릴정도로 강하진않지만...암튼 첨 느껴보는 느낌이 아~~~~주 미세하게 느껴집니다.재료른 살펴보니 종가집김치전용풀,종가집새우액젓,김치유산균발효액,종가집생강양념 이 네가지가 종가집만의 비법?으로 만들어진것같은데 이 네가지중 하나에서 나오는 맛인것같습니다. 허브종류처럼 향이 강하지만 아주 조금들어있는 느낌이예요. 생강처럼 강한 향이지만 아주 조금 들어있는듯한?결론적으론 아주 맛있습니다. 이정도 가격에 이런맛이면 여기서 계속 시켜먹을것같아요. 잘먹겠습니다",Positive
7,사먹는 김치를 좋아해서 여러 브랜드 김치들 먹어봤지만 제 입맛에는 종가집 이온김치가 제일 맞아서 벌써 네번째 재구매인듯 하네요. 받자마자 바로 먹는 새김치보다 익혀두고 먹을때 진가를 발휘하는 김치라고 생각됩니다.익히면 지~~~~~~~~~~~~~~인짜 시원한 맛이에요.젓갈내 많이 안나고 깔끔한 맛의 김치입니다.새김치 오는날엔 보쌈해먹고 며칠정도 새김치 먹다가 맛있게 익게 몇 달 뒀다가 먹곤해요. 그 전 김치 익혀둔거 떨어지기 전에 미리 사둠.이번 김치는 그 전에 샀던거보다 새김치가 더 맛있어서 만족스럽네요.다만 그 전에 샀을때보다 만원 이상 더 비싸져서ㅠㅠ 아쉽네요.김장철이라 어쩔수 없겠지만... 다음번엔 김장철 아닐때 좀 더 많이 사둬야겠다 싶었습니다.푹 익은 김치가 진짜 맛있기 때문에 냉장고만 넉넉하면 쟁여둬도 될 듯.,Positive
8,"제구매 20키로 했는데.. 10키로는 양호 문제에 10키로가 봉지가 찌져짐.. 국물 다세고 제가보기엔 스티로폼박스는 상태좋은데 얼름팩 넣을때 날카롭게, 찌져진것 같음.. 김치찌게 국물이 생명인데.. 맛있는데 좀 아쉬움이 남았음.. 제구매 20키로 했는데.. 10키로는 양호 문제에 10키로가 봉지가 찌져짐.. 국물 다세고 제가보기엔 스티로폼박스는 상태좋은데 얼름팩 넣을때 날카롭게, 찌져진것 같음.. 김치찌게 국물이 생명인데.. 맛있는데 좀 아쉬움이 남았음.. 제구매 20키로 했는데.. 10키로는 양호 문제에 10키로가 봉지가 찌져짐.. 국물 다세고 제가보기엔 스티로폼박스는 상태좋은데 얼름팩 넣을때 날카롭게, 찌져진것 같음.. 김치찌게 국물이 생명인데.. 맛있는데 좀 아쉬움이 남았음..",Negative
9,"마트에 갔다가 절임배추도 동이나고, 소포장으로는 안되고해서 행복이온 김치는 처음 주문해봤는데요, 포장을 풀자마자 너무 양념색이 허옇게되서 놀랐어요, 한쪽 먹어보니 맛은 괜찮았어요 짭잘하니 하루익히면 될것같고, 그래서 김치통으로 옮기다 집 고추가루를 골고루 뿌리고 남은 김치국물에도 뿌려서 색깔을 좀 빨갛게 했네요, 절대 여기사진과 같지는 않아요, 그리고 쪽파도 좀더 넣어야 하는데 하는 생각이 드네요. 오천원 만원을 더 받더라도 고추가루와 쪽파가 좀 더 들어갔으면 하는 바램입니다. 암튼 잘 받았구요. 가격을 맞추긴 해야겠지만 조금 더 받더라도 잘 알려진 김치인 만큼 소비자에게 인정받으면 좋겠어요. 물가도 오르고 더운 여름에 편안히 받아서 힘은 덜 들었지만 맛있게 먹어야 할텐데 말이죠",Negative
