,NAME,DATE,PRODUCT,TEXT
0,akyr******,22.10.27.,필수-중량선택: 팔공 명품김치 7kg,김치는 여기만 시켜먹어요. 깔끔한 맛이라 특히 좋습니다. 갓김치는 넘편 때문에 시켜서 먹어봤다가 맛있어서 재주문했고 무김치는 제가 무김치 먹고 싶어서 주문했는데 정말 맛있네요. 하루만에 다 먹을뻔한거 꾸역꾸역 참았습니다. 휴...배추김치는 항상 떨어지기 전에 주문하고 있어요. 맛있어요 진짜.
1,okcu***,22.11.02.,필수-중량선택: 팔공 명품김치 4kg,경상도식 진한 김치가 먹고 싶어 주문했습니다. 요즘 배추 상태가 좋지 않은 걸 알아서 기대 안 했는데 받고보니 배추가 실하고 아삭하네요. 이파리 사이사이 속양념을 아끼지 않고 듬뿍 넣어주셨더라고요. 바깥에 하루 익혔다 먹으니 진짜~맛있어욥. 재주문각입니다.
2,bann*****,22.11.05.,필수-중량선택: 팔공 명품김치 7kg,작년 김장김치 똑 떨어져서 평이 좋아 구입했어요. 담근지 얼마 안된 거라 겉절이맛이 있지만 좀 익으면 맛있을거같아요. 초등 아이들은 맛있다고 잘 먹어서 익을때까지 남아있을진 모르겠지만
3,du****,22.10.31.,필수-중량선택: 팔공 명품김치 7kg,방금 맛 담궈서 와서 아삭하고 맛있어요 김치 하나로 밥 한공기 뚝딱을 몇일 내내하고 있어요 김치먹으려고 라면 끓였구요 ㅋ ㅋ  4키로 먹다가 7키로 구입했는데 너무 맛있어서 금방 먹을거같아요
4,yesk****,22.11.06.,필수-중량선택: 팔공 명품김치 4kg,"인터넷에서 구매하는건 중국산이 대부분인데
국내산이라 너무 좋구요
경상도식 김치라 해야하나
제 입에 딱 좋고 맛납니다
4키로 시키니 대략 한포기에서
조금 더 된다고 보시면 됩니다"
5,miso****,22.10.31.,필수-중량선택: 팔공 명품김치 4kg,김장김치 같은게 딱 제가 원하던 김치네요 쪼금 간이 센데 그래도 맛있어요 배추도 크고 싱싱하고 아주 좋아요 재구매각ㅎㅎ
6,dkfa***,22.11.01.,필수-중량선택: 팔공 명품김치 7kg,포장 엄청 꼼꼼하네용 이런박스 처음봤어요 박스 뜯기전에는 김치냄새가 하나도 안나요~매번 마트가서 사다가 배송은 처음인데 배송상태가 너무 맘에 들어요 맛있어서 매번 직접 사왔는데 이젠 배송해도 되겠네요
7,6131***,22.11.05.,필수-중량선택: 팔공 명품김치 4kg,부모님이 경상도가 고향이라 경상도김치만 먹고자란터라 경상도김치의 그 시뻘건 김치를 좋아해요. 팔공산김치 예전 대구에 잠깐살때 많이 들어봐서 사먹어봤어요. 양념장많고 빨개서 일단 만족. 맛도 맛있어요ㅠㅠ 팔공산김치가 약간 비싸긴한데 그래도 요걸로만 쭉 시켜먹을듯. 정착할수있는 김치가 있어서 너무 좋아요~ 익으면 또 어떤맛이 날지도 궁금하고. 총각김치도 시켜먹어보고싶다...
8,msnk*****,22.11.01.,필수-중량선택: 팔공 명품김치 4kg,"꼼꼼한 포장이 마음에 들었고, 집에서 한 김치처럼 맛있음. 재구매 의사 있음."
9,tjdw******,22.10.25.,필수-중량선택: 팔공 명품김치 4kg,꼼꼼하게 포장 잘되어서 빨리 뱅송되었네요 맛은 집에서담은듯
10,hilu***,22.10.30.,필수-중량선택: 팔공 명품김치 4kg,"처음 시켜보는데 맛있어요. 시원하고 약간은 매콤한맛도 있어요.
맛있어요. 담에 또 주문할거에요 🥰"
11,jjan*******,22.11.05.,필수-중량선택: 팔공 명품김치 7kg,작년까지 시댁에서 김장을 했는데 올해부턴 여러가지 사정으로 김치를 사 먹어야해서 엄청 고르고 고르고 골라서 이곳에서 김치를 샀는데 양념도 적당하고 배추도 아삭하고 이제 김치는 여기서 쭉~~~~~~~
12,hrki****,22.10.29.,필수-중량선택: 팔공 명품김치 7kg,"처음으로 팔공김치를 먹어봤는데 소문대로 맛있네요
앞으로 계속 애용할께요"
13,heec********,22.10.28.,필수-중량선택: 팔공 명품김치 4kg,추석때 비싸서 못사고 한달 지나니 가격이 내려서 재구매 합니다 팔공 먹다가 다른김치는 별로라서 못먹겠어요 맛있게 잘 먹고 있어요
14,sumi****,22.11.04.,필수-중량선택: 팔공 명품김치 4kg,맛있어요.간도 적당하고 오랜만에 생김치로 맛있는 밥 먹었네요. 재구매예정입니다
15,hi****,22.11.02.,필수-중량선택: 팔공 명품김치 4kg,포장 아주 좋았어요 . 김치 맛은 시원한 맛 ! 매운 맛은 아닌데 깊은 맛은 아닌듯한 느낌이라 라이트하게 남녀노소 다 좋아할 맛 !
16,wlsq*****,22.11.02.,필수-중량선택: 팔공 명품김치 4kg,항상 김장 되기전에 김치 떨어지면 여기서 주문해요 맛있고 믿고 먹을수 있어서 좋아요!!
17,rabb******,22.11.02.,필수-중량선택: 팔공 명품김치 4kg,소문만 듣고 첨시켰는데  ㅎㅎ 맛있습니다 아들도 잘먹고 친정집에도 보내드렸어요
18,koro****,22.10.30.,필수-중량선택: 팔공 명품김치 7kg,김치는 처음사먹어보는데 진짜 맛있어요 배송도 빨랐고 무엇보다 짜지도않고 딱 좋아요 앞으로도 김치는 사먹어도 될거같네요^^
19,yiff******,22.10.22.,필수-중량선택: 팔공 명품김치 4kg,"맛있어서 재구매 했는데
아니~이번엔 더 맛있네요
계속 재구매 각입니다
김장도 팔공김치로 해결해야겠네요"
